location,country_code,gdp_usd,anxiety_percent_female,anxiety_percent_male,bipolar_percent_female,bipolar_percent_male,depress_percent_female,depress_percent_male,suicide_rate_per100k_female,suicide_rate_per100k_male
Kingdom of Thailand,THA,8.861926851152617,-2.8026618312558327,-3.3596519676447705,-5.418768811427211,-5.463401098265163,-3.0750161716994637,-3.3627982651847343,4.574178398945371,25.580139800392686
Kingdom of Tonga,TON,8.499554440480495,-2.73297755569665,-3.216550560823287,-5.649999349775773,-5.680216007622935,-3.2055842578948393,-3.5028247683658185,4.732026312330789,10.134825300182236
Kyrgyz Republic,KGZ,7.207857876249315,-3.2141480777638063,-3.692558241512547,-4.998486085748607,-5.057375323718034,-2.8559182182718224,-3.1617560354621426,4.930969916083346,21.619084029791583
Lao People's Democratic Republic,LAO,7.834412512597466,-2.5607168203297705,-3.0016815530125114,-5.449439865944183,-5.450621760225561,-3.240128374460814,-3.268805880919071,4.100554934359505,10.471662458800612
Lebanese Republic,LBN,8.305329262961486,-1.9772862810714207,-2.5796186972245816,-4.238702154211216,-4.346898474698016,-2.2572681234037004,-2.6895457502314364,0.9241059228613756,1.5095489931536883
Malaysia,MYS,9.29680349927551,-2.4675557660856717,-3.0307752132525363,-5.4402486143809465,-5.461540596035727,-3.010534000765683,-3.187353133417655,2.072283908003468,8.477669270524554
Mongolia,MNG,8.415739651399244,-3.355268569587783,-3.8403905288177453,-4.999843335940795,-5.062137704010797,-2.8058618945647735,-3.0385001901306636,4.846012736581654,37.43350190633354
Montenegro,MNE,9.155457646468705,-2.5611202629832466,-3.140968628378144,-4.926673895778596,-5.018466431805623,-2.847365520797639,-3.4351236696406495,4.871456130358705,21.161029773778097
New Zealand,NZL,10.812233527636002,-1.9818617397598317,-2.554329581275521,-3.751050912642529,-3.9427520089677386,-2.6422518318710333,-3.0812692510986386,7.502015409665572,21.61105684147224
North Macedonia,MKD,8.93863701973987,-2.530212114040176,-3.1227433438378687,-4.91644333473023,-5.009307397399248,-2.906665496550759,-3.499063385341526,2.9400530564113936,8.405607346762668
