location,sex,age,anxiety_percent,bipolar_percent,depress_percent,suicide_rate_per100k,country_code,year,gdp_usd
Republic of Albania,Female,15-49 years,0.0752612859898408,0.0071988973041697,0.0511978298107966,2.2890091962209023,ALB,2021.0,6413.28328605026
Slovak Republic,Male,15-49 years,0.0399951705386202,0.0067080726050667,0.0315024540392047,19.469183920134917,SVK,2021.0,22138.1949833348
Slovak Republic,Female,15-49 years,0.0724204881534816,0.007399131140455,0.0562242574166447,2.862320818262464,SVK,2021.0,22138.1949833348
Bosnia and Herzegovina,Male,15-49 years,0.0405182061468901,0.0066646309558728,0.0308589867963801,13.939782925517298,BIH,2021.0,7295.3438240957
Bosnia and Herzegovina,Female,15-49 years,0.0730568486315849,0.0073287308195262,0.0564637367767617,2.5957374543515432,BIH,2021.0,7295.3438240957
New Zealand,Male,15-49 years,0.0777443358581538,0.0193947666625339,0.0459009598165355,21.61105684147224,NZL,2021.0,49624.1816729553
New Zealand,Female,15-49 years,0.13781242745292,0.0234930437417208,0.0712007567669757,7.502015409665572,NZL,2021.0,49624.1816729553
Grand Duchy of Luxembourg,Male,15-49 years,0.0570359623998989,0.0099733495473477,0.0412945279362496,9.121284660445797,LUX,2021.0,133711.794435985
Grand Duchy of Luxembourg,Female,15-49 years,0.0990769232534746,0.0131016325857103,0.0659233471401095,3.427566975186965,LUX,2021.0,133711.794435985
Principality of Andorra,Male,15-49 years,0.0591654501508801,0.0099686829690108,0.0493460227340323,11.597664087998869,AND,2021.0,42425.6996756291
Principality of Andorra,Female,15-49 years,0.1032328819149187,0.0131779321251913,0.0788249965817698,2.820363977128262,AND,2021.0,42425.6996756291
Republic of Singapore,Male,15-49 years,0.028638951376178,0.0079766526060436,0.0272374654248946,9.59022907212589,SGP,2021.0,79601.4129622433
Republic of Singapore,Female,15-49 years,0.0506713013913847,0.009806117159336,0.0350005544054205,4.418157925805463,SGP,2021.0,79601.4129622433
Czech Republic,Male,15-49 years,0.0365591470058604,0.0067353105464119,0.0344362535006159,17.92409683868471,CZE,2021.0,27696.4619527544
Czech Republic,Female,15-49 years,0.0664213329985462,0.0074332301083278,0.056518371788819,3.6264599484097735,CZE,2021.0,27696.4619527544
Republic of Belarus,Male,15-49 years,0.0495976243967077,0.0065402516250617,0.0556045732901463,36.63505032429765,BLR,2021.0,7489.71894713888
Republic of Belarus,Female,15-49 years,0.078936552814299,0.0069701935083512,0.0830153661611725,6.354630758590509,BLR,2021.0,7489.71894713888
Republic of Moldova,Male,15-49 years,0.0473241644325589,0.0065563101673815,0.0416714516959297,25.34765036319432,MDA,2021.0,5274.60582195352
Republic of Moldova,Female,15-49 years,0.0750297525952017,0.0070033344687665,0.0604633839344177,3.2937829044703864,MDA,2021.0,5274.60582195352
Republic of Latvia,Male,15-49 years,0.05013668046139,0.0064854901347857,0.0527352862473656,32.15059069310345,LVA,2021.0,20262.8433862451
Republic of Latvia,Female,15-49 years,0.0798916520382217,0.0069440498867943,0.0727574879192822,3.8985589026336713,LVA,2021.0,20262.8433862451
Ukraine,Male,15-49 years,0.0399818387026913,0.0065792837553293,0.0532375331475152,47.72153629102035,UKR,2021.0,4775.94580078125
Ukraine,Female,15-49 years,0.0619858198555518,0.0070679806717533,0.076129365279179,6.446274040491235,UKR,2021.0,4775.94580078125
Brunei Darussalam,Male,15-49 years,0.0315867091901521,0.0067762996001109,0.0208786827382963,7.243557778501455,BRN,2021.0,31006.9636220576
Brunei Darussalam,Female,15-49 years,0.0553021358190937,0.0081707368716964,0.0320807903941646,1.6905958072292862,BRN,2021.0,31006.9636220576
Republic of Lithuania,Male,15-49 years,0.0556912192748409,0.0064824029761513,0.0596438394804138,47.86524537056096,LTU,2021.0,23934.728489916
Republic of Lithuania,Female,15-49 years,0.0912880895514799,0.0069747268766309,0.0824885335438493,4.89308038809667,LTU,2021.0,23934.728489916
Russian Federation,Male,15-49 years,0.0430603281379837,0.0065284402005984,0.0481991884874593,50.323146252495846,RUS,2021.0,12521.5224609375
Russian Federation,Female,15-49 years,0.0680476443398287,0.0069193278244292,0.0603432656413448,8.272215257692961,RUS,2021.0,12521.5224609375
Australia,Male,15-49 years,0.0684486128295615,0.01536955460412,0.0598408785876515,25.59808384881059,AUS,2021.0,60607.7788605166
Australia,Female,15-49 years,0.109349936018337,0.0161821946052972,0.0870649512134105,7.524478085998874,AUS,2021.0,60607.7788605166
Republic of Iceland,Male,15-49 years,0.0525897541073176,0.0096986161603635,0.0353862447816849,22.95612775929228,ISL,2021.0,69325.9078287926
Republic of Iceland,Female,15-49 years,0.0908755145084382,0.0127402094053632,0.0583095807997188,4.22335873311195,ISL,2021.0,69325.9078287926
Republic of Chile,Male,15-49 years,0.0454532102728942,0.0086561159513013,0.0457991886888437,20.54328154967479,CHL,2021.0,16216.5706467899
Republic of Chile,Female,15-49 years,0.1311332747421993,0.0110779439850594,0.0883616582924986,4.520301287817713,CHL,2021.0,16216.5706467899
Eastern Republic of Uruguay,Male,15-49 years,0.0524986362665266,0.0087131392019746,0.0400763510317997,39.68483834486567,URY,2021.0,17888.211510172
Eastern Republic of Uruguay,Female,15-49 years,0.1229294249256699,0.0109149895126974,0.0709835293836962,7.92558264325097,URY,2021.0,17888.211510172
Republic of Estonia,Male,15-49 years,0.0445857119021709,0.006566440312207,0.0464869991595549,21.780592917137835,EST,2021.0,27953.7670230126
Republic of Estonia,Female,15-49 years,0.0702560267185129,0.0070245239320661,0.0701346306169084,3.308128306943637,EST,2021.0,27953.7670230126
State of Israel,Male,15-49 years,0.042703204247861,0.0118108138410757,0.0510361493301906,8.751046504340762,ISR,2021.0,52255.6159050999
State of Israel,Female,15-49 years,0.0672911593697176,0.0151508590960305,0.0835320107404077,1.844715639664783,ISR,2021.0,52255.6159050999
Argentine Republic,Male,15-49 years,0.0572524647982877,0.0092421159939472,0.0362869950692957,21.25544205732086,ARG,2021.0,10738.0179223384
Argentine Republic,Female,15-49 years,0.1110991177614021,0.0116347075873781,0.0555801126935562,4.953539508439769,ARG,2021.0,10738.0179223384
Kingdom of Spain,Male,15-49 years,0.0445866396561575,0.0098234196829036,0.0510456798484352,9.851145288990766,ESP,2021.0,30817.6828559001
Kingdom of Spain,Female,15-49 years,0.1015843407298406,0.0130501408631196,0.1021236299964071,2.9256602212192977,ESP,2021.0,30817.6828559001
Republic of Cyprus,Male,15-49 years,0.0618309978146056,0.009931570012557,0.0358222809861967,6.046715983481656,CYP,2021.0,33734.29296875
Republic of Cyprus,Female,15-49 years,0.1080965037531368,0.0132004339006878,0.0659537852741775,1.1975115037787631,CYP,2021.0,33734.29296875
Kingdom of Belgium,Male,15-49 years,0.0618635993499755,0.0100358024040658,0.0488804981723712,24.27430384569721,BEL,2021.0,51655.7883303715
Kingdom of Belgium,Female,15-49 years,0.0890347299141943,0.0130449241642879,0.0745754322213324,7.772169280169541,BEL,2021.0,51655.7883303715
Canada,Male,15-49 years,0.0539794574218177,0.0115390770515724,0.0475354541028319,24.970020933371785,CAN,2021.0,52496.8441693242
Canada,Female,15-49 years,0.0903201625229417,0.011651358763137,0.0796446786462692,7.390850022596589,CAN,2021.0,52496.8441693242
Republic of Finland,Male,15-49 years,0.0487403686671882,0.0101230055285505,0.0593461813187061,23.13134408163112,FIN,2021.0,53099.1351400148
Republic of Finland,Female,15-49 years,0.0713682944154848,0.0130985557453477,0.092390105832507,6.904845354785506,FIN,2021.0,53099.1351400148
Republic of Malta,Male,15-49 years,0.059932811792046,0.01001409671075,0.036622370133323,7.600936728436517,MLT,2021.0,38027.3801730893
Republic of Malta,Female,15-49 years,0.1057082485710255,0.0131691238846661,0.0650262619281979,1.4795399791513248,MLT,2021.0,38027.3801730893
Republic of Austria,Male,15-49 years,0.0621850901229917,0.0100031854372111,0.0367676337571899,17.151144078217126,AUT,2021.0,53648.7190742245
Republic of Austria,Female,15-49 years,0.1121730546831802,0.0131420863137877,0.0643527934690835,4.568992458820363,AUT,2021.0,53648.7190742245
Federal Republic of Germany,Male,15-49 years,0.0617175470517205,0.007947820194299,0.0467708026087892,13.77734445696926,DEU,2021.0,52265.6541620571
Federal Republic of Germany,Female,15-49 years,0.1234904126093609,0.0130130820051041,0.0703770977095294,3.853962200724108,DEU,2021.0,52265.6541620571
Kingdom of Denmark,Male,15-49 years,0.0567272655100459,0.0099642430246565,0.0425859054547905,11.641580549609555,DNK,2021.0,69727.9873677012
Kingdom of Denmark,Female,15-49 years,0.097422859805942,0.0132359193020657,0.0733819077310552,4.071366852197554,DNK,2021.0,69727.9873677012
Republic of Paraguay,Male,15-49 years,0.0751286042970284,0.0143015249346293,0.0318513973526701,10.510578219949744,PRY,2021.0,5976.9317978996
Republic of Paraguay,Female,15-49 years,0.1484086149784445,0.0162882720806021,0.0725726100422853,3.750391049553931,PRY,2021.0,5976.9317978996
Islamic Republic of Iran,Male,15-49 years,0.0800130805244445,0.0109178828179918,0.0609897897254861,9.25031347512161,IRN,2021.0,4334.79268631354
Islamic Republic of Iran,Female,15-49 years,0.1332604280428081,0.0121061288620395,0.1015689089942341,3.0943487855454483,IRN,2021.0,4334.79268631354
Republic of Guyana,Male,15-49 years,0.0530484188855069,0.0114292224629767,0.0628159989765267,69.90529882291709,GUY,2021.0,9860.87233445443
Republic of Guyana,Female,15-49 years,0.0939036378015159,0.0129584703785644,0.1001584480022179,13.095780608075884,GUY,2021.0,9860.87233445443
Saint Vincent and the Grenadines,Male,15-49 years,0.0497544978668844,0.0115251477613436,0.0426071599230538,11.199533677159309,VCT,2021.0,8481.30537359541
Saint Vincent and the Grenadines,Female,15-49 years,0.0872445869633163,0.0130230458558533,0.0594797704753844,1.1264709737137808,VCT,2021.0,8481.30537359541
Saint Lucia,Male,15-49 years,0.0522496815474566,0.0116552002680549,0.0424680005304693,12.578801913054306,LCA,2021.0,10459.1321248092
Saint Lucia,Female,15-49 years,0.0921032625375966,0.0132436819958022,0.0629487343942088,1.1753487291106397,LCA,2021.0,10459.1321248092
Kingdom of Norway,Male,15-49 years,0.0721008746142305,0.0094050369226907,0.0509417808348882,18.169485112201187,NOR,2021.0,93072.8925119571
Kingdom of Norway,Female,15-49 years,0.1190100359980839,0.0107639061883158,0.0769827830061122,7.458955526530467,NOR,2021.0,93072.8925119571
Republic of Haiti,Male,15-49 years,0.0486854699140075,0.0113689268517182,0.0362031080712608,12.778995958007876,HTI,2021.0,1835.44394078496
Republic of Haiti,Female,15-49 years,0.0864459091240098,0.0128299858226667,0.0653812590562883,5.839723338823834,HTI,2021.0,1835.44394078496
Jamaica,Male,15-49 years,0.049723711295899,0.0118531536537093,0.0317522980145072,2.223581093358534,JAM,2021.0,5165.33780988607
Jamaica,Female,15-49 years,0.0871158975171303,0.0133002847872373,0.0589037228257476,0.455860832045673,JAM,2021.0,5165.33780988607
United Kingdom of Great Britain and Northern Ireland,Male,15-49 years,0.0538835676989313,0.0113529208567468,0.063649507494318,16.68655957423537,GBR,2021.0,46896.8662432834
United Kingdom of Great Britain and Northern Ireland,Female,15-49 years,0.085058614518746,0.0152622579890615,0.0858297602536636,4.5626371127981,GBR,2021.0,46896.8662432834
Republic of Trinidad and Tobago,Male,15-49 years,0.0515625237954363,0.0115701389671943,0.0538186696559501,25.799929129084493,TTO,2021.0,17912.5106245714
Republic of Trinidad and Tobago,Female,15-49 years,0.091390221799902,0.0130994524763984,0.0768941349183777,4.991451619364483,TTO,2021.0,17912.5106245714
Kingdom of Sweden,Male,15-49 years,0.0555307317045855,0.0099520043480969,0.0481828713876027,16.7035242648129,SWE,2021.0,61174.9680215622
Kingdom of Sweden,Female,15-49 years,0.0940682238270775,0.013415560153618,0.0987416163704782,8.102904475532489,SWE,2021.0,61174.9680215622
Portuguese Republic,Male,15-49 years,0.0849818806906171,0.0106378191758276,0.0523511756064616,11.433771055242952,PRT,2021.0,24711.4510062111
Portuguese Republic,Female,15-49 years,0.1514006486488451,0.0128801927941702,0.1044428632064595,3.5794952856255544,PRT,2021.0,24711.4510062111
Plurinational State of Bolivia,Male,15-49 years,0.0753380496538644,0.0116436592202977,0.0389818721780009,9.08197364040528,BOL,2021.0,3384.84486479247
Plurinational State of Bolivia,Female,15-49 years,0.1300609312339444,0.013059941839685,0.0707921666746521,4.701765268240024,BOL,2021.0,3384.84486479247
Commonwealth of the Bahamas,Male,15-49 years,0.051022107849295,0.0114996374619557,0.0312082663114905,5.571336019309403,BHS,2021.0,28682.3270000732
Commonwealth of the Bahamas,Female,15-49 years,0.0893913468908926,0.0129739972442385,0.0588466395786087,0.7336118865797993,BHS,2021.0,28682.3270000732
Belize,Male,15-49 years,0.0478730497977382,0.0115200388250765,0.0369636678641986,11.198743325807914,BLZ,2021.0,6122.61158580079
Belize,Female,15-49 years,0.0832546962215513,0.0131002309315323,0.0570404080348064,1.612453116833896,BLZ,2021.0,6122.61158580079
Republic of Costa Rica,Male,15-49 years,0.0481938501494435,0.0112726670978539,0.039804861673711,20.97616837065609,CRI,2021.0,12838.1185358931
Republic of Costa Rica,Female,15-49 years,0.0839217389064745,0.0129563113287072,0.0597588541568756,3.8614756302832176,CRI,2021.0,12838.1185358931
Dominican Republic,Male,15-49 years,0.0476608109620588,0.0114821652864235,0.0370057716293687,10.196607574974134,DOM,2021.0,8472.47982000992
Dominican Republic,Female,15-49 years,0.0840257068588403,0.0130467274687078,0.0666749190468669,2.4512813694106934,DOM,2021.0,8472.47982000992
United Mexican States,Male,15-49 years,0.0417840848800522,0.0123718764747048,0.0388219712125195,16.657713497540648,MEX,2021.0,10314.0506741437
United Mexican States,Female,15-49 years,0.0787118147536655,0.0141204610169821,0.0781670277676545,3.5043399027326743,MEX,2021.0,10314.0506741437
Republic of Honduras,Male,15-49 years,0.051265221048572,0.0110075763994504,0.0326528638420034,7.218245098174096,HND,2021.0,2735.14751503977
Republic of Honduras,Female,15-49 years,0.088710997008966,0.0125364295634684,0.0572125315146656,2.030688066994854,HND,2021.0,2735.14751503977
Republic of Nicaragua,Male,15-49 years,0.0486927428923548,0.0110712398725983,0.0371369510723635,12.244161685955612,NIC,2021.0,2128.60980633198
Republic of Nicaragua,Female,15-49 years,0.0849827839883425,0.0127997954465189,0.0600646948205749,3.7465004874113546,NIC,2021.0,2128.60980633198
Grenada,Male,15-49 years,0.0496018219830768,0.0117344243403652,0.0376746856693836,6.901586553498177,GRD,2021.0,9622.24050459345
Grenada,Female,15-49 years,0.0870201117551353,0.0131942768831854,0.057722618746343,1.841951677378752,GRD,2021.0,9622.24050459345
Republic of Guatemala,Male,15-49 years,0.0483676400162581,0.0109086431844585,0.0368668701675862,12.420870208470223,GTM,2021.0,4913.94712869347
Republic of Guatemala,Female,15-49 years,0.0841762183038178,0.012470213146277,0.0661415344949498,3.873898610032717,GTM,2021.0,4913.94712869347
Barbados,Male,15-49 years,0.0511272668384572,0.0116172539352285,0.0356153461664511,6.877231153216021,BRB,2021.0,18696.7858952957
Barbados,Female,15-49 years,0.0897749314799474,0.0132367330909197,0.0607301161663021,1.165734843239891,BRB,2021.0,18696.7858952957
Republic of Suriname,Male,15-49 years,0.0530283834348914,0.0114971805441575,0.062003294930976,44.14590055315696,SUR,2021.0,5029.84838543953
Republic of Suriname,Female,15-49 years,0.0934643287051091,0.0129663587710686,0.0969976629164771,12.45718599180276,SUR,2021.0,5029.84838543953
Republic of Cuba,Male,15-49 years,0.0505576616713753,0.0118276122386532,0.0439617670877123,16.303165035239985,CUB,2021.0,
Republic of Cuba,Female,15-49 years,0.0891151308524666,0.0133811544760001,0.0674681746140138,3.985303859814156,CUB,2021.0,
